Coureur,Equipe,Cout Fantasy,Class. Général,Class. Montagne,Class. Points,Class. Jeune,Points Class. Etape,Fantasy Score,Rentabilité (Score / Cout)
Thibaut Pinot,Groupama-FDJ,14,18,,31,,127,13,0.9
Lars Van Den Berg,Groupama-FDJ,5,87,,,14,5,3,0.6
Richard Carapaz,EF Education-Easypost ,-1,,,,,0,0,-0.0
Andrey Amador,EF Education-Easypost ,9,127,,,,0,0,0.0
Alberto Bettiol,EF Education-Easypost ,11,67,,,,45,3,0.3
Jhoan Esteban Chaves,EF Education-Easypost ,14,69,25,,,10,3,0.2
Magnus Cort Nielsen,EF Education-Easypost ,15,111,,,,4,0,0.0
Neilson Powless,EF Education-Easypost ,15,45,1,10,,56,44,2.9
James Shaw,EF Education-Easypost ,9,59,11,37,,92,10,1.1
Rigoberto Uran,EF Education-Easypost ,15,84,,,,6,1,0.1
Julian Alaphilippe,Soudal Quick-Step,17,27,22,,,42,9,0.5
Kasper Asgreen,Soudal Quick-Step,11,107,29,55,,9,0,0.0
Rémi Cavagna,Soudal Quick-Step,11,140,,17,,2,0,0.0
Tim Declercq,Soudal Quick-Step,7,164,,,,0,0,0.0
Dries Devenyns,Soudal Quick-Step,8,130,,,,5,0,0.0
Fabio Jakobsen,Soudal Quick-Step,21,166,,18,,100,0,0.0
Yves Lampaert,Soudal Quick-Step,13,163,,,,0,0,0.0
Michael Mørkøv,Soudal Quick-Step,9,165,,,,6,0,0.0
Mikel Landa,Bahrain Victorious ,17,11,,62,,85,20,1.2
Nikias Arndt,Bahrain Victorious ,5,115,,61,,12,0,0.0
Phil Bauhaus,Bahrain Victorious ,13,167,,,,270,0,0.0
Pello Bilbao,Bahrain Victorious ,15,13,,35,,115,18,1.2
Jack Haig,Bahrain Victorious ,14,37,15,58,,83,8,0.6
Matej Mohoric,Bahrain Victorious ,17,96,,,,13,1,0.1
Wout Poels,Bahrain Victorious ,9,61,,,,9,3,0.3
Fred Wright,Bahrain Victorious ,10,117,,,21,1,0,0.0
Jai Hindley,Bora - Hansgrohe,18,3,6,9,,416,66,3.7
Emanuel Buchmann,Bora - Hansgrohe,10,15,12,26,,149,20,2.0
Marco Haller,Bora - Hansgrohe,9,99,,,,4,1,0.1
Bob Jungels,Bora - Hansgrohe,10,38,,,,23,7,0.7
Patrick Konrad,Bora - Hansgrohe,11,88,,51,,9,1,0.1
Jordi Meeus,Bora - Hansgrohe,14,154,,11,29,100,6,0.4
Nils Politt,Bora - Hansgrohe,7,110,,,,3,0,0.0
Danny van Poppel,Bora - Hansgrohe,12,133,,40,,88,0,0.0
Giulio Ciccone,Lidl - Trek,16,22,7,22,,211,24,1.5
Tony Gallopin,Lidl - Trek,5,54,,,,18,4,0.8
Mattias Skjelmose Jensen,Lidl - Trek,17,21,,59,5,242,22,1.3
Alex Kirsch,Lidl - Trek,5,123,,74,,20,0,0.0
Juan Pedro Lopez,Lidl - Trek,13,36,,66,,22,7,0.5
Mads Pedersen,Lidl - Trek,18,104,,5,,122,18,1.0
Quinn Simmons,Lidl - Trek,12,148,,,26,0,0,0.0
Jasper Stuyven,Lidl - Trek,12,105,,71,,14,0,0.0
Ben O’Connor,AG2R Citroën Team,18,12,,,,60,19,1.1
Clément Berthet,AG2R Citroën Team,10,34,,,,27,8,0.8
Benoît Cosnefroy,AG2R Citroën Team,11,139,,,,1,0,0.0
Stann Dewulf,AG2R Citroën Team,7,101,,,,5,0,0.0
Félix Gall,AG2R Citroën Team,13,20,2,25,4,161,51,3.9
Olivier Naesen,AG2R Citroën Team,9,92,,48,,13,1,0.1
Aurélien Paret-Peintre,AG2R Citroën Team,12,43,,,,14,6,0.5
Nans Peters,AG2R Citroën Team,9,103,,,,4,0,0.0
Mathieu van der Poel,Alpecin-Deceuninck,22,89,16,54,,39,1,0.0
Silvan Dillier,Alpecin-Deceuninck,8,129,,,,2,0,0.0
Michael Gogl,Alpecin-Deceuninck,6,119,,,,2,0,0.0
Quinten Hermans,Alpecin-Deceuninck,10,93,,,,7,1,0.1
Søren Kragh Andersen,Alpecin-Deceuninck,12,132,,,,24,0,0.0
Jasper Philipsen,Alpecin-Deceuninck,21,106,,1,18,403,30,1.4
Jonas Rickaert,Alpecin-Deceuninck,5,131,,,,7,0,0.0
Ramon Sinkeldam,Alpecin-Deceuninck,8,161,,,,7,0,0.0
Biniam Girmay,Intermarché - Circus - Wanty,16,112,,15,20,61,1,0.1
Lilian Calmejane,Intermarché - Circus - Wanty,7,64,,44,,15,3,0.4
Rui Costa,Intermarché - Circus - Wanty,12,85,,,,8,1,0.1
Louis Meintjes,Intermarché - Circus - Wanty,15,16,,,,54,15,1.0
Adrien Petit,Intermarché - Circus - Wanty,5,144,,,,5,0,0.0
Dion Smith,Intermarché - Circus - Wanty,8,136,,,,7,0,0.0
Mike Teunissen,Intermarché - Circus - Wanty,10,121,,,,29,0,0.0
Georg Zimmermann,Intermarché - Circus - Wanty,10,72,19,,,12,2,0.2
Guillaume Martin,Cofidis,15,17,,,,36,14,0.9
Bryan Coquard,Cofidis,12,122,,2,,157,26,2.2
Simon Geschke,Cofidis,9,75,,,,7,2,0.2
Ion Izagirre,Cofidis,15,55,,,,10,4,0.3
Victor Lafay,Cofidis,9,77,,4,,284,22,2.4
Anthony Perez,Cofidis,6,78,,46,,11,2,0.3
Alexis Renard,Cofidis,5,162,,77,30,13,0,0.0
Axel Zingle,Cofidis,10,141,,,23,4,0,0.0
Enric Mas,Movistar Team,-1,,,,,0,0,-0.0
Ruben Guerreiro,Movistar Team,14,30,4,41,,118,29,2.1
Alex Aranburu,Movistar Team,11,65,,,,34,3,0.3
Gorka Izagirre,Movistar Team,9,42,,67,,14,6,0.7
Matteo Jorgenson,Movistar Team,14,58,24,65,11,14,9,0.6
Grego Mühlberger,Movistar Team,9,56,,,,10,4,0.4
Nelson Oliveira,Movistar Team,6,73,,,,9,2,0.3
Antonio Pedrero,Movistar Team,8,51,,,,10,4,0.5
Romain Bardet,Team DSM - Firmenich,17,8,,32,,152,24,1.4
John Degenkolb,Team DSM - Firmenich,12,160,,,,0,0,0.0
Matthews Dinham,Team DSM - Firmenich,5,50,,,8,18,13,2.6
Alex Edmonson,Team DSM - Firmenich,5,155,,,,2,0,0.0
Nils Eekhoff,Team DSM - Firmenich,6,145,,,25,1,0,0.0
Chris Hamilton,Team DSM - Firmenich,10,47,,,,14,5,0.5
Kevin Vermaerke,Team DSM - Firmenich,8,97,,,16,5,1,0.1
Sam Welsford,Team DSM - Firmenich,13,149,,39,,48,0,0.0
Michael Woods,Israel - Premier Tech,16,33,,16,,182,8,0.5
Guillaume Boivin,Israel - Premier Tech,7,125,,,,9,0,0.0
Simon Clarke,Israel - Premier Tech,11,100,,,,3,1,0.1
Hugo Houle,Israel - Premier Tech,8,66,,,,18,3,0.4
Krists Neilands,Israel - Premier Tech,9,70,14,75,,13,5,0.6
Nicholas Schultz,Israel - Premier Tech,6,60,,,,12,4,0.7
Corbin Strong,Israel - Premier Tech,7,86,,43,13,109,4,0.6
Dylan Teuns,Israel - Premier Tech,15,39,,47,,86,7,0.5
Simon Yates,Team Jayco AlUla,17,4,21,14,,270,37,2.2
Lawson Craddock,Team Jayco AlUla,9,82,,,,7,1,0.1
Luke Durbridge,Team Jayco AlUla,6,157,,,,6,0,0.0
Dylan Groenewegen,Team Jayco AlUla,19,152,,19,,100,0,0.0
Chris Harper,Team Jayco AlUla,10,26,,,,22,9,0.9
Christopher Juul Jensen,Team Jayco AlUla,5,109,,49,,1,0,0.0
Luka Mezgec,Team Jayco AlUla,9,138,,53,,66,0,0.0
Elmar Reinders,Team Jayco AlUla,5,146,,,,6,0,0.0
Warren Barguil,Team Arkea - Samsic ,11,41,,,,15,6,0.5
Jenthe Biermans,Team Arkea - Samsic ,6,124,,,,9,0,0.0
Clément Champoussin,Team Arkea - Samsic ,11,48,,,7,13,14,1.3
Anthony Delaplace,Team Arkea - Samsic ,5,81,28,,,8,1,0.2
Simon Guglielmi,Team Arkea - Samsic ,6,120,31,33,,2,0,0.0
Matis Louvel,Team Arkea - Samsic ,7,57,,64,10,16,10,1.4
Luca Mozzato,Team Arkea - Samsic ,9,153,,50,28,90,0,0.0
Laurent Pichon,Team Arkea - Samsic ,6,158,18,27,,0,0,0.0
Caleb Ewan,Lotto Dstny,16,150,,6,,270,16,1.0
Victor Campenaerts,Lotto Dstny,11,74,,42,,17,2,0.2
Jasper De Buyst,Lotto Dstny,7,168,,,,0,0,0.0
Pascal Eenkhoorn,Lotto Dstny,7,90,17,28,,5,1,0.1
Frederik Frison,Lotto Dstny,6,159,,,,0,0,0.0
Jacopo Guarnieri,Lotto Dstny,-1,,,,,1,0,-0.0
Maxim Van Gils,Lotto Dstny,9,80,,,12,23,6,0.7
Florian Vermeersch,Lotto Dstny,8,134,,,22,1,0,0.0
Mark Cavendish,Astana Qazaqstan Team,15,169,,8,,170,12,0.8
Cees Bol,Astana Qazaqstan Team,12,170,,68,,8,0,0.0
David De La Cruz,Astana Qazaqstan Team,9,49,,,,14,5,0.6
Yevgeniy Fedorov,Astana Qazaqstan Team,6,172,,,31,0,0,0.0
Alexey Lutsenko,Astana Qazaqstan Team,15,79,,,,5,2,0.1
Gianni Moscon,Astana Qazaqstan Team,6,171,,,,0,0,0.0
Luis Leon Sanchez,Astana Qazaqstan Team,-1,,,,,14,0,-0.0
Harold Tejada,Astana Qazaqstan Team,8,32,,,,25,8,1.0
Alexander Kristoff,Uno-X Pro Cycling Team,16,147,,21,,105,0,0.0
Jonas Abrahamsen,Uno-X Pro Cycling Team,5,116,26,69,,7,0,0.0
Anthon Charmig,Uno-X Pro Cycling Team,7,98,,,17,5,1,0.1
Tobias Halland Johannessen,Uno-X Pro Cycling Team,14,31,3,36,6,135,40,2.9
Rasmus Tiller,Uno-X Pro Cycling Team,8,135,,,,1,0,0.0
Torstein Træen,Uno-X Pro Cycling Team,10,126,,76,,2,0,0.0
Søren Wærenskjold,Uno-X Pro Cycling Team,10,151,,72,27,30,0,0.0
Jonas Gregaard Wilsly,Uno-X Pro Cycling Team,8,68,20,23,,9,3,0.4
Peter Sagan,TotalEnergies,13,137,,20,,50,0,0.0
Edvald Boasson Hagen,TotalEnergies,9,95,23,29,,16,1,0.1
Mathieu Burgaudeau,TotalEnergies,8,52,,,9,12,11,1.4
Steff Cras,TotalEnergies,8,14,,60,,81,17,2.1
Valentin Ferron,TotalEnergies,8,94,,38,15,8,2,0.2
Pierre Latour,TotalEnergies,10,102,27,,,3,0,0.0
Daniel Oss,TotalEnergies,6,114,,,,10,0,0.0
Anthony Turgis,TotalEnergies,10,113,,,,4,0,0.0
